t,A,B,C,D
0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.8187458580403159,0.18125414195968392,0.0
4.0,0.0,0.6703431315757835,0.3296568684242162,0.0
6.0,0.0,0.548835842413832,0.4511641575861678,0.0
8.0,0.0,0.4493253731507443,0.5506746268492556,0.0
10.0,0.0,0.36783515265345507,0.6321648473465447,0.0
12.0,0.0,0.3011295088751013,0.6988704911248984,0.0
14.0,0.0,0.2465526430277551,0.7534473569722445,0.0
16.0,0.0,0.2018711297567595,0.7981288702432402,0.0
18.0,0.0,0.1652767309284473,0.8347232690715525,0.0
20.0,0.0,0.13531005833364804,0.8646899416663517,0.0
22.0,0.0,0.11077835268718726,0.8892216473128125,0.0
24.0,0.0,0.0906768005732015,0.9093231994267982,0.0
26.0,0.0,0.07424702435182497,0.9257529756481747,0.0
28.0,0.0,0.06079281259146361,0.9392071874085361,0.0
30.0,0.0,0.049787074438250464,0.9502129255617493,0.0
32.0,0.0,0.04076757029052885,0.9592324297094709,0.0
34.0,0.0,0.03338420416081289,0.9666157958391868,0.0
36.0,0.0,0.027332072060288284,0.9726679279397114,0.0
38.0,0.0,0.022381560251404573,0.9776184397485951,0.0
40.0,0.0,0.0183265594180167,0.981673440581983,0.0
42.0,0.0,0.01500850662014099,0.9849914933798588,0.0
44.0,0.0,0.012289821568316577,0.9877101784316833,0.0
46.0,0.0,0.010064107897019725,0.98993589210298,0.0
48.0,0.0,0.008240155095201035,0.9917598449047987,0.0
50.0,0.0,0.006747522042879737,0.99325247795712,0.0
52.0,0.0,0.005525032518310304,0.9944749674816894,0.0
54.0,0.0,0.004524478547646629,0.9954755214523531,0.0
56.0,0.0,0.0037049180110638597,0.9962950819889359,0.0
58.0,0.0,0.0030338922931534046,0.9969661077068463,0.0
60.0,0.0,0.0024841766773624377,0.9975158233226372,0.0
62.0,0.0,0.002034150247042856,0.9979658497529568,0.0
64.0,0.0,0.001665641979864749,0.9983343580201349,0.0
66.0,0.0,0.0013639434781139935,0.9986360565218856,0.0
68.0,0.0,0.0011168963870726812,0.9988831036129269,0.0
70.0,0.0,0.0009145822535619382,0.9990854177464377,0.0
72.0,0.0,0.0007489018037158514,0.9992510981962838,0.0
74.0,0.0,0.0006132117364907301,0.9993867882635089,0.0
