t,A,B,C,D
0.0,1.0094527736369525,0.9935425724900001,-0.006838237678096016,0.0005318580040578103
2.0,0.3613489419992451,0.35680254256241917,0.10895098352806684,0.5959761549821205
4.0,0.27507618549858054,0.23274307432357366,0.16563957995669637,0.6679953887361604
6.0,0.20739369594224155,0.1816882495161299,0.19594259242391016,0.6909790425869727
8.0,0.1894061674428603,0.14832150593213142,0.2302996977525425,0.7210680344796176
10.0,0.15118999753232473,0.12090003163476808,0.26921460409740605,0.7312354085902905
12.0,0.14555494978999686,0.11844297114459691,0.29067600142680966,0.7259584965937949
14.0,0.11980153139950417,0.09004229337203622,0.3170520751190786,0.7362837634845111
16.0,0.11934648120648814,0.08130101651050466,0.31872025991123937,0.7438992363142384
18.0,0.09661419357956298,0.07130101407445152,0.33464359021027545,0.7381246584342289
20.0,0.09841583784422285,0.06915230351806571,0.35093308651051786,0.7344739437044187
22.0,0.08218432482690802,0.06114746271898405,0.3638907621374785,0.7391796400286632
24.0,0.06993868990907356,0.0627956100159352,0.3739568371847817,0.7376574755880738
26.0,0.06589656564065278,0.05780692190045675,0.3917692786333634,0.7381056392313105
28.0,0.057313309247244815,0.0381487134393851,0.39998800442388266,0.7411207987739635
30.0,0.05644763597982113,0.049133107150148694,0.4036155161597377,0.7404130830334068
32.0,0.05453802704319264,0.03407280410917291,0.4266913540641805,0.7402110152611941
34.0,0.05355120052515131,0.04104270941190599,0.4202848531286524,0.747549836321184
36.0,0.044256777433929244,0.03813748045890754,0.43084812523373245,0.7413485905952384
38.0,0.049304819910344876,0.03482215062381183,0.43508751821465486,0.7350804993637258
40.0,0.03874664291508094,0.019069078566031315,0.45079271078356714,0.7432137218506857
42.0,0.03579848247718273,0.014614841401482915,0.4471849664964195,0.7429867657793243
44.0,0.04131353003135592,0.02162454383134915,0.45383839870500375,0.7429476069802133
46.0,0.021323134107298393,0.011963805671639759,0.45239692891470534,0.7430612526453924
48.0,0.03034761769270948,0.01562502730994789,0.46602233522250297,0.7404464329439363
50.0,0.018883829911783306,0.00986864622496654,0.4591198773057121,0.7494569718704085
52.0,0.019483525577673744,0.017734175006409073,0.46526364246800334,0.7362516308857248
54.0,0.02866194926781456,0.009037758858960791,0.46784669973252685,0.7497585406171569
56.0,0.014065328264570577,0.007642200699387036,0.47220793069134287,0.7427912164509899
58.0,0.016533920169585322,0.01839663345811745,0.4818971404360027,0.7423159649620604
60.0,0.013148874753578177,0.016790103516091053,0.474209863388879,0.7530892435904122
62.0,0.01065146233958103,0.01613137038795576,0.4826169597961376,0.7385770335565002
64.0,0.018285108267133268,0.007724726166489965,0.47894938702167456,0.7537079197600255
66.0,0.012084114524990723,0.011738870258952473,0.48409892175062486,0.7505484757392001
68.0,0.022064178433080433,0.0006231596046821965,0.48979086307827335,0.7392026505780389
70.0,0.014497693572794276,0.008293603420022671,0.48162607420181847,0.7362930179267337
72.0,0.011311605866001849,0.015403332325787495,0.4945425284268106,0.7471328890330485
74.0,0.012303562795173589,0.0014770332349989508,0.4877104519826369,0.7501404125728044
76.0,0.0146808859608073,-0.0037653833479570674,0.5010035703577024,0.7531372916190606
78.0,0.001569994791912683,0.012440779694963933,0.49050879110051915,0.7482916235196854
80.0,9.664741641446373e-05,0.0018027835888226626,0.4932325133494686,0.7537624590340766
82.0,0.004374925798351935,0.007546869730019586,0.5068385442791153,0.7362766420540567
84.0,0.015226310460856346,0.0067397646248736195,0.4959733339399274,0.7520134169795614
86.0,0.014321371113916119,-0.0056185148416983705,0.49854169681394744,0.7439446482411619
88.0,0.00868420798891734,0.007317971483801887,0.5090138933881289,0.7531589304203207
